post,roast,process,bid,title,ratio,bloomRatio,bloomDuration,bloomTemperature,ssPulsesNumber,ssPulsesInterval,ssPulseTemperatures,batchPulsesNumber,batchPulsesInterval,batchPulseTemperatures
/blogs/brew-talks/fellows-take-on-proud-mary-humbler-brew-recipe,dark,,SWbD,"Proud Mary, Humbler",15,3,45,91,3,23,"[90, 90, 90]",3,30,"[90, 90, 90]"
/blogs/brew-talks/fellows-take-on-red-brick-blend-by-square-mile-brew-recipe,,,TLIq,"Square Mile, Red Brick",16,3,45,96,3,23,"[98, 96, 96]",3,23,"[98, 96, 96]"
/blogs/brew-talks/fellows-take-on-ritual-x-dandelion-brew-recipe,,washed,oJEi,"Ritual, La Piñona",15.5,2.5,10,94.5,3,30,"[98, 98, 98]",1,30,[97]
/blogs/brew-talks/fellows-take-on-rwanda-nyampinga-by-equator-coffees-brew-recipe,,,ehvE,"Equator Coffees, Rwanda Nyampinga",15,3,60,98.5,3,23,"[98.5, 98.5, 98.5]",6,30,"[97.5, 95, 93.5, 92, 92, 90]"
/blogs/brew-talks/fellows-take-on-saint-frank-coffee-las-nieves-brew-recipe,,washed,UXjr,"Saint Frank, Honduras Las Nieves",16,2,45,99,3,10,"[96, 93.5, 90]",4,10,"[96, 95, 93, 90]"
/blogs/brew-talks/fellows-take-on-san-jeronimo-tecoatl-by-paloma-brew-recipe,light,washed,sF0o,"Paloma, San Jerònimo Tecoatl",16.5,2.5,45,93,2,30,"[93, 93]",3,30,"[93, 93, 93]"
/blogs/brew-talks/fellows-take-on-scruffy-city-darker-blend-by-k-brew-brew-recipe,,washed,XFmf,"K Brew, Scruffy City Darker Blend",16,2.5,30,94,3,23,"[94, 92, 91]",4,30,"[94, 94, 92, 91]"
/blogs/brew-talks/fellows-take-on-sey-ruarai-brew-recipe,,,CTUd,"SEY, Ruarai",20,2.5,30,99,3,23,"[99, 99, 99]",3,30,"[99, 99, 99]"
/blogs/brew-talks/fellows-take-on-sightglass-banner-dark-brew-recipe,dark,,6pIr,Sightglass Banner Dark,15.5,2.5,30,95,3,24,"[94.5, 93.5, 93.5]",1,30,[94.5]
/blogs/brew-talks/fellows-take-on-sitio-da-torre-by-square-mile-brew-recipe,,natural processed,KhN5,"Square Mile, Sitio da Torre",16.5,3,45,94,3,23,"[98, 98, 98]",3,23,"[98, 98, 98]"
/blogs/brew-talks/fellows-take-on-space-cowboy-from-sightseer-brew-recipe,,natural,QVxh,"Sightseer, Space Cowboy",16.5,3,30,94.5,2,30,"[94.5, 94.5]",2,30,"[94.5, 94.5]"
/blogs/brew-talks/fellows-take-on-spring-breakers-coffee-box-by-brandywine-coffee-roasters-brew-recipe,,,PFiV,"Black & White, Watermelon Margarita",15.5,3,35,96,3,23,"[89, 87, 87]",4,30,"[89, 87, 87, 86]"
/blogs/brew-talks/fellows-take-on-spring-breakers-coffee-box-by-brandywine-coffee-roasters-brew-recipe,,,XaJu,"Brandywine, Strawberry Daiquiri",15,3,35,93,3,23,"[89, 87, 85]",4,30,"[89, 87, 85, 84]"
/blogs/brew-talks/fellows-take-on-square-mile-shoohndisa-brew-recipe,,natural,4H46,Ethiopia (Shoohndisa + Telila) Square Mile,16.5,3,45,98,3,20,"[98, 98, 98]",4,30,"[98, 98, 96, 94]"
/blogs/brew-talks/fellows-take-on-square-mile-telila-kecho-anderacha-brew-recipe,,washed,4H46,Ethiopia (Shoohndisa + Telila) Square Mile,16.5,3,45,98,3,20,"[98, 98, 98]",4,30,"[98, 98, 96, 94]"
/blogs/brew-talks/fellows-take-on-stellar-bloom-from-dark-matter-brew-recipe,medium,,UbGa,"Dark Matter, Stellar Bloom",15.5,3,34,94,3,23,"[90, 89, 88]",3,30,"[90, 89, 88]"
/blogs/brew-talks/fellows-take-on-struttura-by-camber-coffee-brew-recipe,,honey,Qo3C,"Camber, Struttura",15.5,2,30,99,3,23,"[85, 85, 85]",3,30,"[85, 85, 85]"
/blogs/brew-talks/fellows-take-on-sweet-bloom-hometown-blend-brew-recipe,,,lMmB,"Sweet Bloom, Hometown Blend",16,2,40,96,3,20,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-tandem-coffee-roasters-ethiopia-gure-kesso-brew-recipe,,washed,Zisb,"Tandem, Ethiopia Gure Kesso",16.5,3,45,95,3,23,"[95, 95, 95]",3,30,"[95, 95, 95]"
/blogs/brew-talks/fellows-take-on-the-future-grape-soda-black-white,,,CoxQ,"Black & White, Grape Soda Cold Brew",11,3,120,96,,,null,,,null
/blogs/brew-talks/fellows-take-on-the-future-grape-soda-black-white,,,dIln,"Black & White, Grape Soda (Hot Brew)",16,3,40,96,2,15,"[96, 96]",1,30,[96]
/blogs/brew-talks/fellows-take-on-touchy-coffee-uganda-sylvia-achebet-brew-recipe,,,Jj7s,"Touchy, Uganda Sylvia Achebet ""All Fall""",17,3,45,95,3,30,"[94, 92, 90]",3,30,"[94, 92, 90]"
/blogs/brew-talks/fellows-take-on-twisted-v9-by-jbc-brew-recipe,,,vXRe,"JBC, Twisted v.9",16,2.5,30,96,3,23,"[96, 96, 96]",1,30,[96]
/blogs/brew-talks/fellows-take-on-verve-coffee-roasters-sweater-weather-brew-recipe,,washed,il5N,"Verve, Sweater Weather",15,2.5,35,96,3,23,"[96, 96, 96]",3,30,"[96, 96, 96]"
/blogs/brew-talks/fellows-take-on-wilton-benitez-pink-bourbon-by-jbc-brew-recipe,light,,bqvn,"JBC, Wilton Benitez Pink Bourbon",16,3,40,96,2,25,"[95, 94]",2,40,"[95, 94]"
/blogs/brew-talks/fellows-take-on-wimp-decaf-coltrane-brew-recipe,,washed,adrm,"Wimp Decaf, Coltrane",16,3,30,95,4,23,"[93, 93, 92, 92]",5,30,"[93, 93, 93, 92, 92]"
/blogs/brew-talks/fellows-take-on-wonderstate-peru-gesha-inka-sl9-box-brew-recipe,,,z5tR,"Wonderstate, Peru Inka Gesha SL9 Coffees",16.5,3,40,95,4,10,"[95, 94.5, 94, 93.5]",6,12,"[95, 94.5, 94, 93.5, 93, 92.5]"
/blogs/brew-talks/fellows-take-on-yirgafecta-by-sightseer-brew-recipe,light,,beiv,Yirgafecta! Sightseer,15,3,60,95.5,3,20,"[95.5, 95.5, 95.5]",1,30,[95.5]
